Group.1,Anatidae,Centrocercus,Centrocercus.urophasianus,Dendragapus,Fratercula.arctica,Laridae,Neognathae,Tetrao.urogallus,Tetraoninae,Tetrastes.bonasia,Tympanuchus
BBY003BR1_2,0,0,0,1,0,0,1,0,1,1,1
BBY003BR1_1,0,1,0,1,0,0,1,0,1,1,1
BBY003BR2_2,0,0,0,0,0,0,1,0,1,1,0
BBY003BR2_1,0,1,0,1,0,0,1,1,1,1,1
BBY003BR3_2,0,1,0,1,0,0,0,1,1,1,1
BBY003BR3_1,0,1,1,1,0,0,1,1,1,1,1
BBY011BR1_1,0,0,0,0,1,0,0,0,0,0,0
BBY011BR3_2,0,0,0,0,0,1,0,0,0,0,0
BBY011BR3_1,0,0,0,0,0,1,0,0,0,0,0
BBY016BR2_2,1,0,0,0,0,0,0,0,0,0,0
